Symbol,Date,Open,High,Low,Close,Volume,Outstanding Share,MKT. CAPT,,Open,High,Low,Close
ACPL,01-Jul-11,48.95,49,48.95,48.95,2020,114522468,5605874809,," 5,605,874,809 "," 5,611,600,932 "," 5,605,874,809 "," 5,605,874,809 "
CHCC,01-Jul-11,9.5,9.5,8.68,9,8,176631853,1589686677,," 1,678,002,604 "," 1,678,002,604 "," 1,533,164,484 "," 1,589,686,677 "
DBCI,01-Jul-11,2,2,1.95,1.99,9000,98236644,195490921.6,," 196,473,288 "," 196,473,288 "," 191,561,456 "," 195,490,922 "
DCL,01-Jul-11,1.61,1.79,1.61,1.7,10652,4841133000,8229926100,," 7,794,224,130 "," 8,665,628,070 "," 7,794,224,130 "," 8,229,926,100 "
DGKC,01-Jul-11,23.04,23.25,23,23.19,547052,438119097,10159981859,," 10,094,263,995 "," 10,186,269,005 "," 10,076,739,231 "," 10,159,981,859 "
DNCC,01-Jul-11,1.5,1.5,1.32,1.32,10,948400000,1251888000,," 1,422,600,000 "," 1,422,600,000 "," 1,251,888,000 "," 1,251,888,000 "
FCCL,01-Jul-11,4.2,4.2,4.1,4.11,57418,1379815025,5671039753,," 5,795,223,105 "," 5,795,223,105 "," 5,657,241,603 "," 5,671,039,753 "
FECTC,01-Jul-11,5.5,5.5,5.45,5.45,600,501600000,2733720000,," 2,758,800,000 "," 2,758,800,000 "," 2,733,720,000 "," 2,733,720,000 "
GWLC,01-Jul-11,7.98,7.98,6.9,6.94,4920,4002740000,27779015600,," 31,941,865,200 "," 31,941,865,200 "," 27,618,906,000 "," 27,779,015,600 "
KOHC,01-Jul-11,6.15,6.39,5.85,5.85,45725,154508688,903875824.8,," 950,228,431 "," 987,310,516 "," 903,875,825 "," 903,875,825 "
LUCK,01-Jul-11,70.15,71.19,70.15,70.96,516935,323375000,22946690000,," 22,684,756,250 "," 23,021,066,250 "," 22,684,756,250 "," 22,946,690,000 "
MLCF,01-Jul-11,2.18,2.2,2.02,2.05,264492,593700666,1217086365,," 1,294,267,452 "," 1,306,141,465 "," 1,199,275,345 "," 1,217,086,365 "
PAKCEM,01-Jul-11,2.71,2.75,2.7,2.75,95610,1456109027,4004299824,," 3,946,055,463 "," 4,004,299,824 "," 3,931,494,373 "," 4,004,299,824 "
PIOC,01-Jul-11,5.89,5.89,5.45,5.45,2520,227148793,1237960922,," 1,337,906,391 "," 1,337,906,391 "," 1,237,960,922 "," 1,237,960,922 "
POWER,01-Jul-11,2.65,2.75,2.65,2.7,1998,9587557000,25886403900,," 25,407,026,050 "," 26,365,781,750 "," 25,407,026,050 "," 25,886,403,900 "
THCCL,01-Jul-11,20.9,20.9,19.1,19.1,1001,997181000,19046157100,," 20,841,082,900 "," 20,841,082,900 "," 19,046,157,100 "," 19,046,157,100 "
ACPL,04-Jul-11,49,49.2,48.03,48.8,16470,114522468,5588696438,," 5,611,600,932 "," 5,634,505,426 "," 5,500,514,138 "," 5,588,696,438 "
CHCC,04-Jul-11,9.45,9.45,8.7,8.98,6899,176631853,1586154040,," 1,669,171,011 "," 1,669,171,011 "," 1,536,697,121 "," 1,586,154,040 "
DBCI,04-Jul-11,2,2.23,2,2.01,1120,98236644,197455654.4,," 196,473,288 "," 219,067,716 "," 196,473,288 "," 197,455,654 "
DCL,04-Jul-11,1.6,1.75,1.6,1.62,130313,4841133000,7842635460,," 7,745,812,800 "," 8,471,982,750 "," 7,745,812,800 "," 7,842,635,460 "
DGKC,04-Jul-11,23.01,23.38,23.01,23.31,911166,438119097,10212556151,," 10,081,120,422 "," 10,243,224,488 "," 10,081,120,422 "," 10,212,556,151 "
DNCC,04-Jul-11,2.24,2.24,1.32,1.32,1,948400000,1251888000,," 2,124,416,000 "," 2,124,416,000 "," 1,251,888,000 "," 1,251,888,000 "
FCCL,04-Jul-11,4.15,4.2,4.05,4.09,245369,1379815025,5643443452,," 5,726,232,354 "," 5,795,223,105 "," 5,588,250,851 "," 5,643,443,452 "
FECTC,04-Jul-11,5.15,5.5,5.15,5.5,940,501600000,2758800000,," 2,583,240,000 "," 2,758,800,000 "," 2,583,240,000 "," 2,758,800,000 "
GWLC,04-Jul-11,7.8,7.8,6.22,6.94,210,4002740000,27779015600,," 31,221,372,000 "," 31,221,372,000 "," 24,897,042,800 "," 27,779,015,600 "
KOHC,04-Jul-11,5.86,6.05,5.86,5.86,2050,154508688,905420911.7,," 905,420,912 "," 934,777,562 "," 905,420,912 "," 905,420,912 "
LUCK,04-Jul-11,71.25,72.2,70.31,72.02,171027,323375000,23289467500,," 23,040,468,750 "," 23,347,675,000 "," 22,736,496,250 "," 23,289,467,500 "
MLCF,04-Jul-11,2.1,2.15,2.01,2.09,240383,593700666,1240834392,," 1,246,771,399 "," 1,276,456,432 "," 1,193,338,339 "," 1,240,834,392 "
PAKCEM,04-Jul-11,2.75,2.83,2.75,2.79,79039,1456109027,4062544185,," 4,004,299,824 "," 4,120,788,546 "," 4,004,299,824 "," 4,062,544,185 "
PIOC,04-Jul-11,5.1,5.47,5,5.47,8975,227148793,1242503898,," 1,158,458,844 "," 1,242,503,898 "," 1,135,743,965 "," 1,242,503,898 "
POWER,04-Jul-11,2.75,2.75,2.65,2.65,10301,9587557000,25407026050,," 26,365,781,750 "," 26,365,781,750 "," 25,407,026,050 "," 25,407,026,050 "
THCCL,04-Jul-11,18.9,19,18.9,19,1000,997181000,18946439000,," 18,846,720,900 "," 18,946,439,000 "," 18,846,720,900 "," 18,946,439,000 "
ACPL,05-Jul-11,48.99,51.24,48.6,49.2,72058,114522468,5634505426,," 5,610,455,707 "," 5,868,131,260 "," 5,565,791,945 "," 5,634,505,426 "
BWCL,05-Jul-11,12.99,12.99,12.12,12.12,1,596252783,7226583730,," 7,745,323,651 "," 7,745,323,651 "," 7,226,583,730 "," 7,226,583,730 "
CHCC,05-Jul-11,9.1,9.1,8.75,9.01,11476,176631853,1591452996,," 1,607,349,862 "," 1,607,349,862 "," 1,545,528,714 "," 1,591,452,996 "
DBCI,05-Jul-11,2.2,2.2,1.96,1.96,19001,98236644,192543822.2,," 216,120,617 "," 216,120,617 "," 192,543,822 "," 192,543,822 "
DCL,05-Jul-11,1.71,1.74,1.62,1.73,7279,4841133000,8375160090,," 8,278,337,430 "," 8,423,571,420 "," 7,842,635,460 "," 8,375,160,090 "
DGKC,05-Jul-11,23.35,23.9,23.31,23.75,4317631,438119097,10405328554,," 10,230,080,915 "," 10,471,046,418 "," 10,212,556,151 "," 10,405,328,554 "
DNCC,05-Jul-11,1.95,1.95,1.32,1.32,3,948400000,1251888000,," 1,849,380,000 "," 1,849,380,000 "," 1,251,888,000 "," 1,251,888,000 "
FCCL,05-Jul-11,4.09,4.34,4.09,4.26,458391,1379815025,5878012007,," 5,643,443,452 "," 5,988,397,209 "," 5,643,443,452 "," 5,878,012,007 "
FECTC,05-Jul-11,5.25,5.5,5.25,5.48,2269,501600000,2748768000,," 2,633,400,000 "," 2,758,800,000 "," 2,633,400,000 "," 2,748,768,000 "
GWLC,05-Jul-11,7.9,7.9,6.6,7,857,4002740000,28019180000,," 31,621,646,000 "," 31,621,646,000 "," 26,418,084,000 "," 28,019,180,000 "
JVDC,05-Jul-11,61.9,61.9,61.37,61.37,1,1570510000,96382198700,," 97,214,569,000 "," 97,214,569,000 "," 96,382,198,700 "," 96,382,198,700 "
KOHC,05-Jul-11,6.54,6.54,5.86,5.86,101,154508688,905420911.7,," 1,010,486,820 "," 1,010,486,820 "," 905,420,912 "," 905,420,912 "
LUCK,05-Jul-11,72.1,73.7,72.1,72.74,800802,323375000,23522297500,," 23,315,337,500 "," 23,832,737,500 "," 23,315,337,500 "," 23,522,297,500 "
MLCF,05-Jul-11,2.1,2.15,2.06,2.07,110165,593700666,1228960379,," 1,246,771,399 "," 1,276,456,432 "," 1,223,023,372 "," 1,228,960,379 "
PAKCEM,05-Jul-11,2.8,2.95,2.75,2.79,620722,1456109027,4062544185,," 4,077,105,276 "," 4,295,521,630 "," 4,004,299,824 "," 4,062,544,185 "
PIOC,05-Jul-11,5.84,5.84,5.21,5.5,3001,227148793,1249318362,," 1,326,548,951 "," 1,326,548,951 "," 1,183,445,212 "," 1,249,318,362 "
POWER,05-Jul-11,2.75,2.75,2.55,2.56,14201,9587557000,24544145920,," 26,365,781,750 "," 26,365,781,750 "," 24,448,270,350 "," 24,544,145,920 "
SMCPL,05-Jul-11,5.5,5.5,5.5,5.5,1,250000000,1375000000,," 1,375,000,000 "," 1,375,000,000 "," 1,375,000,000 "," 1,375,000,000 "
THCCL,05-Jul-11,19.95,19.95,19,19,1,997181000,18946439000,," 19,893,760,950 "," 19,893,760,950 "," 18,946,439,000 "," 18,946,439,000 "
ACPL,06-Jul-11,49.75,49.75,49,49.6,4166,114522468,5680314413,," 5,697,492,783 "," 5,697,492,783 "," 5,611,600,932 "," 5,680,314,413 "
CHCC,06-Jul-11,9.35,9.35,9.01,9.01,200,176631853,1591452996,," 1,651,507,826 "," 1,651,507,826 "," 1,591,452,996 "," 1,591,452,996 "
DBCI,06-Jul-11,1.6,2.05,1.6,2,3403,98236644,196473288,," 157,178,630 "," 201,385,120 "," 157,178,630 "," 196,473,288 "
DCL,06-Jul-11,1.64,1.85,1.64,1.77,95577,4841133000,8568805410,," 7,939,458,120 "," 8,956,096,050 "," 7,939,458,120 "," 8,568,805,410 "
DGKC,06-Jul-11,23.74,24.14,23.57,24.01,2405128,438119097,10519239519,," 10,400,947,363 "," 10,576,195,002 "," 10,326,467,116 "," 10,519,239,519 "
DNCC,06-Jul-11,2.28,2.28,1.32,1.32,3,948400000,1251888000,," 2,162,352,000 "," 2,162,352,000 "," 1,251,888,000 "," 1,251,888,000 "
FCCL,06-Jul-11,4.12,4.33,4.12,4.2,64535,1379815025,5795223105,," 5,684,837,903 "," 5,974,599,058 "," 5,684,837,903 "," 5,795,223,105 "
GWLC,06-Jul-11,6.15,7,6.15,7,101,4002740000,28019180000,," 24,616,851,000 "," 28,019,180,000 "," 24,616,851,000 "," 28,019,180,000 "
KOHC,06-Jul-11,5.86,6.04,5.86,6.03,3600,154508688,931687388.6,," 905,420,912 "," 933,232,476 "," 905,420,912 "," 931,687,389 "
LUCK,06-Jul-11,72.8,73.44,72.71,72.83,256535,323375000,23551401250,," 23,541,700,000 "," 23,748,660,000 "," 23,512,596,250 "," 23,551,401,250 "
MLCF,06-Jul-11,2.05,2.13,2.05,2.1,43342,593700666,1246771399,," 1,217,086,365 "," 1,264,582,419 "," 1,217,086,365 "," 1,246,771,399 "
PAKCEM,06-Jul-11,2.9,3,2.81,2.84,662102,1456109027,4135349637,," 4,222,716,178 "," 4,368,327,081 "," 4,091,666,366 "," 4,135,349,637 "
PIOC,06-Jul-11,5.3,5.7,5.21,5.29,2303,227148793,1201617115,," 1,203,888,603 "," 1,294,748,120 "," 1,183,445,212 "," 1,201,617,115 "
POWER,06-Jul-11,2.79,2.79,2.6,2.6,16001,9587557000,24927648200,," 26,749,284,030 "," 26,749,284,030 "," 24,927,648,200 "," 24,927,648,200 "
SMCPL,06-Jul-11,4.9,4.9,4.9,4.9,500,250000000,1225000000,," 1,225,000,000 "," 1,225,000,000 "," 1,225,000,000 "," 1,225,000,000 "
THCCL,06-Jul-11,18.5,18.51,18.5,18.51,502,997181000,18457820310,," 18,447,848,500 "," 18,457,820,310 "," 18,447,848,500 "," 18,457,820,310 "
ACPL,07-Jul-11,49.75,49.75,49,49.02,3743,114522468,5613891381,," 5,697,492,783 "," 5,697,492,783 "," 5,611,600,932 "," 5,613,891,381 "
BWCL,07-Jul-11,11.25,11.25,11.2,11.2,1000,596252783,6678031170,," 6,707,843,809 "," 6,707,843,809 "," 6,678,031,170 "," 6,678,031,170 "
CHCC,07-Jul-11,8.75,9.44,8.51,8.86,15667,176631853,1564958218,," 1,545,528,714 "," 1,667,404,692 "," 1,503,137,069 "," 1,564,958,218 "
DBCI,07-Jul-11,2,2.2,2,2.18,67611,98236644,214155883.9,," 196,473,288 "," 216,120,617 "," 196,473,288 "," 214,155,884 "
DCL,07-Jul-11,1.84,1.84,1.75,1.8,47786,4841133000,8714039400,," 8,907,684,720 "," 8,907,684,720 "," 8,471,982,750 "," 8,714,039,400 "
DGKC,07-Jul-11,23.99,24.2,23.65,23.75,1867581,438119097,10405328554,," 10,510,477,137 "," 10,602,482,147 "," 10,361,516,644 "," 10,405,328,554 "
DNCC,07-Jul-11,2.3,2.3,1.32,1.32,1,948400000,1251888000,," 2,181,320,000 "," 2,181,320,000 "," 1,251,888,000 "," 1,251,888,000 "
FCCL,07-Jul-11,4.29,4.32,4.2,4.2,167757,1379815025,5795223105,," 5,919,406,457 "," 5,960,800,908 "," 5,795,223,105 "," 5,795,223,105 "
FECTC,07-Jul-11,5.48,5.48,5.48,5.48,1,501600000,2748768000,," 2,748,768,000 "," 2,748,768,000 "," 2,748,768,000 "," 2,748,768,000 "
GWLC,07-Jul-11,6.3,7.25,6.3,7,328,4002740000,28019180000,," 25,217,262,000 "," 29,019,865,000 "," 25,217,262,000 "," 28,019,180,000 "
JVDC,07-Jul-11,61.37,61.37,61.37,61.37,1,1570510000,96382198700,," 96,382,198,700 "," 96,382,198,700 "," 96,382,198,700 "," 96,382,198,700 "
KOHC,07-Jul-11,6.05,6.22,6.03,6.03,55,154508688,931687388.6,," 934,777,562 "," 961,044,039 "," 931,687,389 "," 931,687,389 "
LUCK,07-Jul-11,72.51,73.59,72.5,72.54,181131,323375000,23457622500,," 23,447,921,250 "," 23,797,166,250 "," 23,444,687,500 "," 23,457,622,500 "
MLCF,07-Jul-11,2.07,2.1,2.06,2.1,126977,593700666,1246771399,," 1,228,960,379 "," 1,246,771,399 "," 1,223,023,372 "," 1,246,771,399 "
PAKCEM,07-Jul-11,2.92,2.95,2.8,2.82,364031,1456109027,4106227456,," 4,251,838,359 "," 4,295,521,630 "," 4,077,105,276 "," 4,106,227,456 "
PIOC,07-Jul-11,5.5,5.5,5.3,5.3,6107,227148793,1203888603,," 1,249,318,362 "," 1,249,318,362 "," 1,203,888,603 "," 1,203,888,603 "
